name,perimeter,area,complexity,income,income_state,lean,margin_rep,margin_pres,districts,nw,nb,nn,na,nh,no,n2,n2o,n3,hw,hb,hn,ha,hh,ho,h2,h2o,h3,nw_1,nb_1,nn_1,na_1,nh_1,no_1,n2_1,n2o_1,n3_1,hw_1,hb_1,hn_1,ha_1,hh_1,ho_1,h2_1,h2o_1,h3_1
Minnesota District 7,2283,91639,7.5416389,52930,63217,12,-5.0999999,30.6000004,8,592971,7051,17649,5485,370,271,10572,82,10490,18141,281,1012,62,17,7849,1607,763,844,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 2,505,6558,6.2359939,77468,63217,2,1.8,1.2,8,566806,28164,2577,30993,85,1133,17724,345,17379,20780,583,368,26,151,14879,2698,1351,1347,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 6,661,7869,7.4514651,73884,63217,12,31.2999992,25.3999996,8,620290,17597,2719,15501,102,356,13290,299,12991,10002,156,391,74,9,5258,1676,750,926,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Minnesota District 8,1751,84730,6.0154419,51684,63217,4,-0.6,15.5,8,610314,6700,16692,4672,181,196,13464,146,13318,7135,181,486,17,1,1551,1182,540,642,4432384,305403,51971,245360,1639,6977,131108,3058,128050,165141,5450,4933,1459,330,81319,17394,8358,9036
Illinois District 1,261,671,10.0757933,49456,59196,-27,-48.2000008,-53.2000008,18,252262,362542,982,12765,80,1199,10850,822,10028,37170,1816,653,84,33,26051,3601,2339,1262,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 18,1234,27619,7.425252,60947,59196,15,44.2000008,27.7000008,18,635416,25983,1014,18592,173,1203,12785,730,12055,13071,569,261,40,70,3417,1242,662,580,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 7,165,167,12.7680836,51546,59196,-38,-68.4000015,-77.4000015,18,199933,357455,715,51151,89,1294,11747,771,10976,51285,3404,412,338,182,46739,4152,2506,1646,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Illinois District 2,316,2824,5.9464083,45727,59196,-29,-59.5999985,-58.5999985,18,201759,393402,626,4968,49,1015,9436,400,9036,62424,3375,608,87,24,23129,3237,2050,1187,7996856,1810559,14378,650929,2994,18545,220949,11527,209422,1274051,27053,15021,4870,1192,735014,79273,48891,30382
Nebraska District 1,947,23246,6.211205,55048,54384,11,39,20.7000008,3,523571,17481,6474,15359,500,362,13085,71,13014,40433,797,1124,56,5,8364,3074,1797,1277,1511352,85911,12981,39508,1173,2123,36409,717,35692,144356,2477,2758,286,132,34549,7244,3754,3490
California District 36,728,15515,5.8446093,45708,63783,-2,-24.2000008,-8.8000002,53,305161,29501,4427,22595,1149,992,13489,741,12748,195183,2031,4082,946,132,143694,12662,7178,5484,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 16,598,7473,6.917572,38381,63783,-9,-16,-21.2999992,53,165134,40552,3224,65763,1145,1114,12699,745,11954,245872,2419,4502,1405,172,160772,16336,9959,6377,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 46,93,188,6.782722,56465,63783,-15,-100,-38,53,132172,10622,1168,89168,2123,928,7978,405,7573,300209,1189,2657,1265,290,167746,8792,4532,4260,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 37,74,143,6.1881909,51531,63783,-37,-100,-76.0999985,53,181277,165886,836,73105,957,4545,19894,1611,18283,120900,3847,4955,578,103,136570,8685,5336,3349,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 33,285,1237,8.1032648,99902,63783,-16,-32.7999992,-41.2999992,53,469320,19846,1205,99035,1297,2643,30122,1479,28643,59540,682,1007,867,95,19999,7967,4147,3820,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 15,256,1623,6.3544903,97232,63783,-20,-47.5999985,-44.9000015,53,258550,44007,1942,234277,7995,1430,31177,1891,29286,103074,1905,2123,1597,325,48925,14112,6906,7206,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Indiana District 2,527,10385,5.171391,48073,50433,11,22.3999996,23,9,581292,48547,2088,8590,362,963,14041,372,13669,44552,1003,527,136,93,15738,3529,2458,1071,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 9,643,11767,5.9275889,51881,50433,13,13.6000004,26.7999992,9,663534,20067,1636,16356,85,533,12873,345,12528,14424,369,401,84,19,6741,1476,953,523,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 6,660,16182,5.188333,48554,50433,18,42.4000015,40.2000008,9,660099,17799,1318,9266,235,1007,10918,341,10577,9796,262,227,12,55,7289,795,518,277,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
Indiana District 8,1068,19071,7.7336502,47444,50433,15,32,33.5999985,9,654494,28709,1200,6765,418,454,13243,233,13010,10407,278,54,16,38,4842,1033,740,293,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
California District 53,170,358,8.9847794,65332,63783,-14,-34,-34.9000015,53,305669,58664,1598,98457,5351,1545,29356,1191,28165,185713,3230,2519,2525,324,41898,16175,6207,9968,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 47,361,1736,8.6642771,60841,63783,-13,-27.3999996,-31.5,53,227015,50986,2367,154766,5038,1149,22199,997,21202,167207,2130,4620,1839,256,64609,12777,5356,7421,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 31,286,572,11.9582605,55451,63783,-8,-12.1999998,-21.1000004,53,199320,73816,1679,55133,1933,1680,17085,1318,15767,251598,4130,3503,2028,218,103052,18406,8083,10323,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 3,1158,16473,9.0224028,57926,63783,-5,-18.7999992,-12.5,53,352057,41638,4611,79076,3503,1412,30445,1105,29340,123580,1661,2594,1367,208,67511,13233,6317,6916,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 21,1068,17466,8.0811749,38462,63783,-5,13.3999996,-15.3999996,53,123880,27475,3095,21355,820,924,8940,650,8290,377147,2011,4944,814,655,128565,10839,6793,4046,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 48,178,660,6.9286404,83894,63783,4,16.6000004,-1.7,53,406202,8096,1631,129193,2272,1894,20605,640,19965,83559,400,1137,670,149,58915,9260,5377,3883,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 10,429,4769,6.2121744,56256,63783,0,3.4000001,-3,53,320336,21515,2824,46456,4358,1394,22873,847,22026,209512,1689,1706,1427,406,78515,16011,7857,8154,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Arkansas District 1,2230,51270,9.8485708,38289,42336,17,76.3000031,34.7999992,4,553496,129929,2318,3553,325,384,11776,259,11517,14149,415,562,14,0,7001,1068,704,364,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 3,1134,14358,9.4638119,46332,42336,19,77.3000031,31.3999996,4,588712,21692,7653,21526,5960,1070,20074,623,19451,67984,760,894,210,2,32673,3466,1970,1496,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 4,1619,58905,6.6706901,37758,42336,17,74.9000015,32.9000015,4,515103,139863,4329,4475,105,935,11002,143,10859,20371,642,660,20,0,17443,1037,687,350,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Arkansas District 2,823,13198,7.1638384,48103,42336,7,21.5,10.6999998,4,520589,166338,2000,11625,324,869,15398,366,15032,26732,999,281,116,22,7270,2258,1767,491,2177900,457822,16300,41179,6714,3258,58250,1391,56859,129236,2816,2397,360,24,64387,7829,5128,2701
Indiana District 1,280,3622,4.6524725,53183,50433,-8,-81.5,-12.5,9,451703,135438,1425,9285,258,856,10852,378,10474,49498,2572,563,187,100,46884,7421,4881,2540,5284680,599629,12763,129420,2013,9572,121979,3295,118684,250079,8597,3036,812,733,141928,24337,15713,8624
California District 34,76,124,6.8250012,37136,63783,-35,-100,-72.9000015,53,75343,29608,982,138998,1213,1724,8984,815,8169,210229,2053,5746,1945,113,233163,10283,5921,4362,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 52,323,988,10.2759991,86174,63783,-6,-13,-22.5,53,435862,21229,1901,144718,2234,1569,28969,1130,27839,79260,1384,1834,1709,165,13408,7912,2374,5538,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 30,152,357,8.044693,72243,63783,-18,-45.2000008,-43.4000015,53,379469,34149,1304,92436,1064,2514,23656,1389,22267,119606,1521,1308,1058,128,81321,10838,6890,3948,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 18,341,2133,7.3834434,112702,63783,-23,-42.2000008,-53.2000008,53,404165,13273,1004,156821,2462,2485,28481,1055,27426,75112,713,1141,909,191,36998,7027,3372,3655,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 20,661,14199,5.547184,62732,63783,-23,-41.5999985,-46.7999992,53,273999,13185,1753,36908,2302,997,18370,594,17776,260669,1056,3544,1234,136,103187,12185,6490,5695,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 42,524,2469,10.5455866,73341,63783,9,17.6000004,12,53,333321,38429,2559,67917,2573,1294,26021,1372,24649,175416,2340,2531,1480,243,92220,14997,8543,6454,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
California District 25,500,4410,7.5292325,73819,63783,0,6.1999998,-6.6999998,53,310011,53960,1605,57643,965,1427,22379,971,21408,156022,2057,2537,943,212,93696,16513,8194,8319,14837242,2158363,136582,5280818,138956,90413,1107850,53686,1054164,8843342,103472,148930,73790,11952,5043187,679309,346222,333087
Louisiana District 4,1619,33317,8.8698015,41240,45652,13,41.5999985,24,6,446230,257012,5465,7097,548,1459,13114,484,12630,17919,1510,661,61,82,5777,2908,1802,1106,2754643,1483906,24050,78263,1264,7563,72573,2165,70408,154647,10295,2353,456,200,42871,12586,6468,6118
Louisiana District 2,919,3808,14.8924809,37096,45652,-25,-100,-52.7000008,6,219007,480592,1395,20152,263,1459,10180,574,9606,26877,4553,398,121,32,12868,2021,802,1219,2754643,1483906,24050,78263,1264,7563,72573,2165,70408,154647,10295,2353,456,200,42871,12586,6468,6118
